Team,Conf.,Rec.,2ndO Wins,S&P+P,S&P+R,Rk,Off. S&P+,Rk,Def. S&P+,Rk,ST S&P+,Rk,SOS,Rk,Year
Memphis,AAC,4-Sep,7.2 (-1.8),67.50%,8,47,35.1,35,30.4,82,3.3,1,0.896,66,2015
San Diego State,MWC,3-Nov,10.5 (-0.5),67.40%,8,48,28.6,69,22.6,38,2,10,0.951,115,2015
Appalachian State,Sun Belt,2-Nov,10.7 (-0.3),67.10%,7.9,49,33.2,43,25.1,49,-0.2,75,0.946,110,2015
Toledo,MAC,2-Oct,8.7 (-1.3),66.50%,7.7,50,30.4,60,21.8,33,-0.9,95,0.933,93,2015
Bowling Green,MAC,4-Oct,10.4 (0.4),66.00%,7.5,51,39.4,18,32.1,93,0.2,57,0.931,89,2015
Georgia Southern,Sun Belt,4-Sep,8.9 (-0.1),65.30%,7.3,52,32.8,46,26.5,57,1,30,0.935,94,2015
Houston,AAC,13-1,9.7 (-3.3),62.20%,6.2,53,33.6,41,28.4,69,1,29,0.918,78,2015
Temple,AAC,4-Oct,8.6 (-1.4),61.50%,6,54,26.4,84,20.6,25,0.2,62,0.92,80,2015
Cincinnati,AAC,6-Jul,8.1 (1.1),59.50%,5.3,55,34.4,39,28.2,68,-0.8,92,0.932,90,2015
Western Michigan,MAC,5-Aug,7.3 (-0.7),58.30%,4.9,56,36.7,26,32.2,95,0.4,47,0.903,68,2015
Boston College,ACC,9-Mar,6.0 (3.0),57.80%,4.7,57,18,119,12.5,5,-0.8,90,0.849,25,2015
Air Force,MWC,6-Aug,9.0 (1.0),57.60%,4.7,58,32.6,47,29.2,74,1.3,23,0.927,87,2015
Arizona,Pac-12,6-Jul,6.6 (-0.4),57.60%,4.7,59,38,22,31.6,87,-1.7,114,0.883,60,2015
Texas Tech,Big 12,6-Jul,6.7 (-0.3),57.10%,4.5,60,44.8,4,40.3,121,0,67,0.838,19,2015
Washington State,Pac-12,4-Sep,7.6 (-1.4),56.10%,4.2,61,35.8,29,29.4,77,-2.2,122,0.872,53,2015
Texas,Big 12,7-May,4.7 (-0.3),54.50%,3.7,62,30.7,59,27,60,0,68,0.831,15,2015
South Florida,AAC,5-Aug,7.7 (-0.3),54.30%,3.6,63,30.1,61,26.8,59,0.3,55,0.911,72,2015
Marshall,C-USA,3-Oct,9.0 (-1.0),54.10%,3.5,64,25.4,91,20.3,24,-1.5,111,0.972,128,2015
Missouri,SEC,7-May,4.6 (-0.4),53.70%,3.4,65,16.7,123,12.4,3,-0.9,96,0.864,45,2015
Duke,ACC,5-Aug,6.1 (-1.9),53.60%,3.4,66,27,77,21.5,31,-2,119,0.907,71,2015
South Carolina,SEC,9-Mar,4.1 (1.1),53.60%,3.4,67,31.3,54,28.6,72,0.8,37,0.82,12,2015
Illinois,Big Ten,7-May,5.2 (0.2),51.50%,2.7,68,22.7,104,20.2,23,0.2,59,0.854,36,2015
Kansas State,Big 12,7-Jun,4.0 (-2.0),51.30%,2.6,69,32.2,50,30.8,84,1.2,27,0.852,32,2015
Southern Miss,C-USA,5-Sep,9.3 (0.3),47.50%,1.4,70,31.3,53,31.1,86,1.2,26,0.936,99,2015
Virginia,ACC,8-Apr,4.2 (0.2),47.40%,1.4,71,33,45,30.8,85,-0.8,89,0.83,14,2015
Colorado State,MWC,6-Jul,7.3 (0.3),44.70%,0.5,72,29.4,65,30.2,81,1.3,24,0.952,116,2015
Arkansas State,Sun Belt,4-Sep,8.3 (-0.7),44.50%,0.5,73,30.9,56,28.4,70,-2,120,0.942,106,2015
Indiana,Big Ten,7-Jun,6.7 (0.7),44.30%,0.4,74,37.5,25,35.9,109,-1.2,99,0.869,49,2015
Northwestern,Big Ten,3-Oct,7.0 (-3.0),43.90%,0.2,75,16.8,122,15,8,-1.5,109,0.851,28,2015
Utah State,MWC,7-Jun,7.3 (1.3),42.80%,-0.1,76,24.1,100,22.9,39,-1.4,107,0.926,86,2015
Iowa State,Big 12,9-Mar,5.3 (2.3),42.30%,-0.3,77,31.2,55,33.7,104,2.2,6,0.852,31,2015
Kentucky,SEC,7-May,5.0 (0.0),42.20%,-0.3,78,26.8,79,27.2,63,0.1,66,0.868,48,2015
Ohio,MAC,5-Aug,7.2 (-0.8),41.70%,-0.5,79,24.5,94,26.6,58,1.7,16,0.95,114,2015
East Carolina,AAC,7-May,6.2 (1.2),41.60%,-0.5,80,28.6,68,27.9,66,-1.2,101,0.919,79,2015
Akron,MAC,5-Aug,7.6 (-0.4),40.70%,-0.8,81,24.8,93,25.9,55,0.3,53,0.936,97,2015
Northern Illinois,MAC,6-Aug,7.7 (-0.3),40.20%,-0.9,82,26.1,86,25.4,52,-1.7,115,0.914,75,2015
Maryland,Big Ten,9-Mar,3.8 (0.8),38.30%,-1.6,83,26.1,87,26.5,56,-1.2,102,0.831,16,2015
Vanderbilt,SEC,8-Apr,4.1 (0.1),38.20%,-1.6,84,17.8,120,19.3,16,-0.1,70,0.842,20,2015
Central Michigan,MAC,6-Jul,7.2 (0.2),33.90%,-3.1,85,26.4,83,27.2,61,-2.3,124,0.935,95,2015
Syracuse,ACC,8-Apr,3.6 (-0.4),31.60%,-3.9,86,30,64,33.2,101,-0.7,86,0.846,24,2015
Colorado,Pac-12,9-Apr,4.5 (0.5),31.40%,-4,87,25.8,89,28.5,71,-1.3,103,0.87,50,2015
Wake Forest,ACC,9-Mar,3.7 (0.7),30.10%,-4.5,88,19.8,112,25.2,50,0.9,33,0.831,17,2015
San Jose State,MWC,7-Jun,5.9 (-0.1),30.00%,-4.5,89,26.8,80,32,91,0.8,38,0.938,101,2015
Middle Tennessee,C-USA,6-Jul,7.3 (0.3),29.80%,-4.6,90,27.7,74,32.1,94,-0.1,69,0.917,77,2015
Connecticut,AAC,7-Jun,6.4 (0.4),25.40%,-6.3,91,18.1,118,23.9,43,-0.5,82,0.933,91,2015
Georgia State,Sun Belt,7-Jun,7.9 (1.9),24.40%,-6.7,92,28,73,31.9,90,-2.7,127,0.953,121,2015
Troy,Sun Belt,8-Apr,5.4 (1.4),23.60%,-7,93,24.5,95,31.9,89,0.5,45,0.925,85,2015
Nevada,MWC,6-Jul,5.9 (-1.1),23.40%,-7.1,94,26.9,78,32.6,98,-1.3,106,0.955,123,2015
UL-Lafayette,Sun Belt,8-Apr,4.6 (0.6),23.40%,-7.1,95,24.2,98,32.1,92,0.8,35,0.962,126,2015
Purdue,Big Ten,10-Feb,2.5 (0.5),22.70%,-7.4,96,26.6,82,33.5,103,-0.5,83,0.885,61,2015
Tulsa,AAC,7-Jun,4.8 (-1.2),20.10%,-8.5,97,32.4,48,41.2,124,0.4,50,0.915,76,2015
New Mexico,MWC,6-Jul,4.9 (-2.1),19.80%,-8.7,98,24.9,92,34.8,106,1.3,25,0.949,112,2015
Massachusetts,MAC,9-Mar,5.1 (2.1),18.00%,-9.5,99,22.1,106,29.3,76,-2.3,125,0.933,92,2015
Florida Atlantic,C-USA,9-Mar,4.7 (1.7),17.40%,-9.8,100,18.8,115,29.3,75,0.7,40,0.945,109,2015
Rutgers,Big Ten,8-Apr,3.8 (-0.2),16.80%,-10.1,101,29.3,66,37.1,112,-2.3,123,0.852,33,2015
Oregon State,Pac-12,10-Feb,2.6 (0.6),16.80%,-10.1,102,25.9,88,35.3,108,-0.8,88,0.842,21,2015
Buffalo,MAC,7-May,4.9 (-0.1),16.40%,-10.3,103,24.1,101,32.2,96,-2.2,121,0.958,124,2015
South Alabama,Sun Belt,7-May,5.1 (0.1),16.20%,-10.4,104,24.3,97,33.4,102,-1.3,105,0.936,98,2015
Kent State,MAC,9-Mar,3.6 (0.6),13.50%,-11.9,105,10.6,128,21.3,30,-1.2,100,0.946,111,2015
Idaho,Sun Belt,8-Apr,3.2 (-0.8),13.00%,-12.2,106,30.7,58,44.4,127,1.6,18,0.93,88,2015
Fresno State,MWC,9-Mar,3.9 (0.9),12.40%,-12.6,107,19.6,113,32.8,99,0.6,41,0.907,70,2015
Miami-OH,MAC,9-Mar,3.2 (0.2),11.00%,-13.5,108,16.8,121,29.5,78,-0.8,91,0.94,104,2015
Tulane,AAC,9-Mar,3.9 (0.9),10.30%,-14,109,20.3,109,32.5,97,-1.8,117,0.938,100,2015
Rice,C-USA,7-May,5.0 (0.0),9.40%,-14.6,110,24,102,37.9,116,-0.7,87,0.939,102,2015
UL-Monroe,Sun Belt,11-Feb,2.8 (0.8),9.30%,-14.7,111,18.4,117,32.9,100,-0.2,74,0.914,74,2015
Old Dominion,C-USA,7-May,4.4 (-0.6),9.20%,-14.8,112,22.5,105,37.5,114,0.2,56,0.952,119,2015
Central Florida,AAC,0-12,1.0 (1.0),8.30%,-15.5,113,16.3,125,33.7,105,1.8,13,0.925,84,2015
Texas State,Sun Belt,9-Mar,3.4 (0.4),8.30%,-15.5,114,26.3,85,40.5,122,-1.4,108,0.935,96,2015
Ball State,MAC,9-Mar,2.4 (-0.6),8.30%,-15.5,115,21.9,107,37.3,113,-0.1,72,0.939,103,2015
UNLV,MWC,9-Mar,3.3 (0.3),7.50%,-16.2,116,24.2,99,39.9,120,-0.5,84,0.913,73,2015
Hawaii,MWC,10-Mar,3.5 (0.5),7.40%,-16.3,117,16.6,124,35.1,107,2.2,7,0.906,69,2015
Florida International,C-USA,7-May,4.1 (-0.9),7.10%,-16.6,118,21.7,108,36.5,110,-1.9,118,0.96,125,2015
Wyoming,MWC,10-Feb,2.1 (0.1),7.00%,-16.7,119,22.9,103,39.7,119,0.1,64,0.94,105,2015
SMU,AAC,10-Feb,2.8 (0.8),6.20%,-17.5,120,27.3,75,42.3,126,-2.6,126,0.896,67,2015
UTSA,C-USA,9-Mar,4.8 (1.8),6.00%,-17.7,121,19.3,114,36.6,111,-0.3,77,0.952,118,2015
New Mexico State,Sun Belt,9-Mar,3.7 (0.7),5.20%,-18.6,122,24.5,96,42.2,125,-0.9,93,0.923,81,2015
UTEP,C-USA,7-May,2.7 (-2.3),4.50%,-19.5,123,18.7,116,37.8,115,-0.4,79,0.95,113,2015
Eastern Michigan,MAC,11-Jan,2.1 (1.1),4.30%,-19.7,124,25.6,90,45.5,128,0.1,65,0.944,108,2015
Kansas,Big 12,0-12,0.2 (0.2),3.30%,-21.3,125,20.2,111,40.6,123,-0.9,94,0.857,38,2015
Charlotte,C-USA,10-Feb,2.6 (0.6),3.10%,-21.7,126,11.9,127,31.9,88,-1.7,113,0.97,127,2015
Army,Ind,10-Feb,3.8 (1.8),3.10%,-21.7,127,20.3,110,39,117,-3,128,0.952,117,2015
North Texas,C-USA,11-Jan,1.0 (0.0),1.70%,-25,128,13.3,126,39.2,118,0.8,34,0.924,83,2015
Alabama,SEC,2-Dec,11.7 (-0.3),99.20%,34.3,1,44.5,5,10.7,1,0.5,45,0.793,6,2014
Florida State,ACC,13-1,10.3 (-2.7),97.60%,28.5,2,45,4,18.9,17,2.3,5,0.863,33,2014
Georgia,SEC,3-Oct,10.5 (0.5),97.20%,27.6,3,44.2,6,16.8,10,0.1,58,0.836,15,2014
Ohio State,Big Ten,14-1,12.8 (-1.2),96.30%,25.8,4,45.6,2,20.1,24,0.3,50,0.84,18,2014
Oregon,Pac-12,13-2,12.4 (-0.6),95.50%,24.7,5,48.1,1,23.2,41,-0.2,71,0.844,21,2014
Auburn,SEC,5-Aug,8.6 (0.6),95.20%,24.2,6,45.2,3,22.1,34,1.1,30,0.755,1,2014
Michigan State,Big Ten,2-Nov,10.4 (-0.6),95.10%,24.1,7,42.5,12,17.9,14,-0.4,80,0.868,40,2014
Baylor,Big 12,2-Nov,10.4 (-0.6),94.90%,23.9,8,43,11,19.5,21,0.4,49,0.874,45,2014
TCU,Big 12,1-Dec,11.2 (-0.8),94.40%,23.3,9,39.3,17,17.5,13,1.5,16,0.873,43,2014
Mississippi State,SEC,3-Oct,9.6 (-0.4),93.40%,22.2,10,43.2,10,20.7,26,-0.3,72,0.823,13,2014
LSU,SEC,5-Aug,8.0 (0.0),92.70%,21.5,11,34.2,34,13.3,5,0.6,41,0.786,5,2014
Stanford,Pac-12,5-Aug,9.8 (1.8),92.60%,21.4,12,33.5,38,12,4,-0.1,68,0.88,49,2014
Wisconsin,Big Ten,3-Nov,11.0 (0.0),92.00%,20.8,13,38.7,19,18.1,15,0.2,56,0.88,48,2014
Ole Miss,SEC,4-Sep,9.0 (0.0),91.80%,20.7,14,35.4,31,14.4,7,-0.3,75,0.782,4,2014
Texas A&M,SEC,5-Aug,6.9 (-1.1),91.20%,20.2,15,43.6,8,26.3,61,2.8,1,0.794,7,2014
Missouri,SEC,3-Nov,9.8 (-1.2),90.20%,19.3,16,33,43,15.2,8,1.5,19,0.823,12,2014
Oklahoma,Big 12,5-Aug,8.0 (0.0),90.10%,19.2,17,39.9,16,22.2,35,1.6,14,0.864,34,2014
Clemson,ACC,3-Oct,8.8 (-1.2),88.60%,18.1,18,29,67,11.6,3,0.8,37,0.844,20,2014
UCLA,Pac-12,3-Oct,9.3 (-0.7),87.90%,17.7,19,39.9,14,23,39,0.8,33,0.853,27,2014
South Carolina,SEC,6-Jul,6.8 (-0.2),87.40%,17.4,20,43.6,9,26.5,62,0.3,54,0.816,11,2014
Florida,SEC,5-Jul,7.4 (0.4),87.20%,17.3,21,29.8,62,14.1,6,1.6,13,0.777,3,2014
USC,Pac-12,4-Sep,8.1 (-0.9),87.00%,17.1,22,38.8,18,22.5,36,0.8,34,0.888,54,2014
Louisville,ACC,4-Sep,9.8 (0.8),86.80%,17,23,34,36,16.7,9,-0.3,76,0.859,30,2014
Marshall,C-USA,13-1,13.1 (0.1),86.50%,16.8,24,38.4,20,23.1,40,1.5,18,0.985,128,2014
Kansas State,Big 12,4-Sep,8.7 (-0.3),85.60%,16.3,25,37.7,22,23.2,42,1.8,9,0.846,23,2014
Pittsburgh,ACC,7-Jun,9.3 (3.3),81.60%,14.1,26,37.4,24,25.3,56,2,7,0.931,73,2014
Miami-FL,ACC,7-Jun,8.1 (2.1),81.20%,13.9,27,35,32,21.3,29,0.2,57,0.86,31,2014
Arizona State,Pac-12,3-Oct,8.3 (-1.7),80.30%,13.5,28,36.1,29,23.3,43,0.7,38,0.891,56,2014
Nebraska,Big Ten,4-Sep,8.9 (-0.1),79.40%,13.1,29,33.8,37,21,28,0.3,51,0.891,57,2014
Tennessee,SEC,6-Jul,6.6 (-0.4),77.60%,12.2,30,31,53,19.9,23,1.1,28,0.796,8,2014
Arkansas,SEC,6-Jul,7.5 (0.5),77.60%,12.2,31,32.4,47,19.4,20,-0.8,94,0.76,2,2014
Boise State,MWC,2-Dec,11.3 (-0.7),76.20%,11.6,32,36.6,25,24.7,53,-0.3,73,0.938,82,2014
Georgia Tech,ACC,3-Nov,10.0 (-1.0),75.10%,11.2,33,44.1,7,32,92,-0.9,101,0.839,17,2014
Notre Dame,Ind,5-Aug,8.3 (0.3),74.20%,10.8,34,37.5,23,26,59,-0.6,89,0.844,19,2014
BYU,Ind,5-Aug,9.2 (1.2),72.70%,10.2,35,33.1,41,24.1,47,1.2,27,0.945,91,2014
Penn State,Big Ten,6-Jul,7.2 (0.2),70.20%,9.2,36,20.6,110,11,2,-0.4,81,0.899,63,2014
Texas,Big 12,7-Jun,6.5 (0.5),69.70%,9,37,26,84,17.2,12,0.3,53,0.845,22,2014
Utah,Pac-12,4-Sep,6.3 (-2.7),69.00%,8.8,38,29.1,66,23,38,2.7,2,0.867,39,2014
Oklahoma State,Big 12,6-Jul,6.3 (-0.7),68.70%,8.6,39,32,50,24,46,0.6,39,0.838,16,2014
East Carolina,AAC,5-Aug,10.7 (2.7),68.30%,8.5,40,34.7,33,24.6,52,-1.5,115,0.937,80,2014
West Virginia,Big 12,6-Jul,7.0 (0.0),68.10%,8.4,41,31.3,52,24.3,49,1.5,22,0.811,9,2014
Michigan,Big Ten,7-May,5.5 (0.5),67.40%,8.2,42,27,76,19,19,0.1,59,0.88,50,2014
NC State,ACC,5-Aug,7.7 (-0.3),67.10%,8.1,43,34.1,35,27.1,63,1,31,0.896,62,2014
Washington,Pac-12,6-Aug,7.6 (-0.4),66.50%,7.8,44,28.5,69,21.8,31,1.2,26,0.892,61,2014
Virginia Tech,ACC,6-Jul,6.5 (-0.5),66.50%,7.8,45,25.7,86,17.2,11,-0.7,92,0.891,58,2014
Arizona,Pac-12,4-Oct,7.6 (-2.4),65.90%,7.6,46,33.4,39,25.7,58,-0.1,67,0.866,38,2014
Duke,ACC,4-Sep,7.4 (-1.6),64.10%,7,47,29.6,64,25.1,55,2.5,4,0.929,71,2014
Cincinnati,AAC,4-Sep,8.9 (-0.1),64.00%,6.9,48,36.3,28,29.8,81,0.4,48,0.92,68,2014
Iowa,Big Ten,6-Jul,6.6 (-0.4),63.60%,6.8,49,32.5,45,24.2,48,-1.5,114,0.907,66,2014
Minnesota,Big Ten,5-Aug,7.6 (-0.4),63.60%,6.8,50,29.7,63,24.3,50,1.4,24,0.861,32,2014
Kentucky,SEC,7-May,5.3 (0.3),63.10%,6.6,51,29.8,60,24.8,54,1.6,15,0.815,10,2014
Utah State,MWC,4-Oct,10.6 (0.6),61.30%,6,52,25.2,90,18.6,16,-0.5,85,0.955,103,2014
Maryland,Big Ten,6-Jul,6.8 (-0.2),60.40%,5.7,53,30.4,55,26.1,60,1.4,25,0.852,26,2014
Central Florida,AAC,4-Sep,7.3 (-1.7),60.40%,5.7,54,25.8,85,19.7,22,-0.4,79,0.936,77,2014
Memphis,AAC,3-Oct,9.5 (-0.5),60.30%,5.6,55,26.5,79,22,32,1.1,29,0.932,74,2014
Houston,AAC,5-Aug,8.5 (0.5),59.80%,5.4,56,30.4,54,23.6,44,-1.4,113,0.952,97,2014
Texas Tech,Big 12,8-Apr,5.7 (1.7),58.10%,4.9,57,39.9,15,35.3,110,0.2,55,0.858,29,2014
Boston College,ACC,6-Jul,7.6 (0.6),58.00%,4.9,58,28.7,68,23.7,45,-0.2,69,0.864,37,2014
Colorado State,MWC,3-Oct,9.5 (-0.5),57.00%,4.5,59,33.2,40,29.2,75,0.6,42,0.961,114,2014
Virginia,ACC,7-May,5.6 (0.6),55.40%,4,60,23.5,96,20.4,25,0.8,35,0.851,25,2014
Navy,Ind,5-Aug,8.3 (0.3),53.70%,3.4,61,36.5,27,32.5,95,-0.6,87,0.94,86,2014
Oregon State,Pac-12,7-May,6.0 (1.0),53.20%,3.2,62,30.3,56,27.9,68,0.9,32,0.881,51,2014
Toledo,MAC,4-Sep,8.3 (-0.7),50.40%,2.3,63,38,21,35.2,109,-0.5,86,0.957,104,2014
UL-Lafayette,Sun Belt,4-Sep,8.6 (-0.4),50.00%,2.2,64,30,59,29.3,76,1.5,20,0.954,100,2014
Indiana,Big Ten,8-Apr,4.6 (0.6),49.00%,1.8,65,30.1,58,27.8,66,-0.5,84,0.874,44,2014
Northwestern,Big Ten,7-May,4.7 (-0.3),47.90%,1.5,66,23.7,94,21.6,30,-0.7,90,0.905,64,2014
San Diego State,MWC,6-Jul,9.1 (2.1),46.60%,1,67,25.1,91,24.6,51,0.5,43,0.97,119,2014
Illinois,Big Ten,7-Jun,5.7 (-0.3),44.70%,0.4,68,28.3,71,27.9,67,-0.1,64,0.892,59,2014
North Carolina,ACC,7-Jun,4.1 (-1.9),43.60%,0,69,35.8,30,35.1,108,-0.7,91,0.89,55,2014
Arkansas State,Sun Belt,6-Jul,7.0 (0.0),42.50%,-0.3,70,31.5,51,31.6,90,-0.2,70,0.955,101,2014
California,Pac-12,7-May,4.9 (-0.1),41.80%,-0.6,71,36.6,26,36.3,113,-0.8,97,0.864,36,2014
Northern Illinois,MAC,3-Nov,8.7 (-2.3),41.80%,-0.6,72,29.8,61,29.6,79,-0.8,96,0.958,105,2014
Western Michigan,MAC,5-Aug,9.1 (1.1),41.20%,-0.8,73,30.2,57,31.8,91,0.8,36,0.976,123,2014
Air Force,MWC,3-Oct,8.8 (-1.2),39.40%,-1.4,74,26.2,81,29.5,78,1.9,8,0.964,116,2014
Rutgers,Big Ten,5-Aug,6.3 (-1.7),39.20%,-1.5,75,32,48,33.1,98,-0.4,78,0.868,41,2014
Louisiana Tech,C-USA,5-Sep,9.0 (0.0),38.60%,-1.7,76,27,77,27.5,64,-1.1,107,0.921,69,2014
Washington State,Pac-12,9-Mar,4.6 (1.6),38.60%,-1.7,77,33,42,32.8,97,-1.9,120,0.872,42,2014
Syracuse,ACC,9-Mar,4.1 (1.1),37.40%,-2.1,78,18.8,116,20.9,27,0,61,0.864,35,2014
Georgia Southern,Sun Belt,3-Sep,8.8 (-0.2),36.50%,-2.4,79,32,49,33.4,99,-1,104,0.969,118,2014
Western Kentucky,C-USA,5-Aug,6.9 (-1.1),35.90%,-2.6,80,40.1,13,41.6,123,-1.1,108,0.962,115,2014
Rice,C-USA,5-Aug,7.7 (-0.3),34.50%,-3.1,81,27.9,73,29.8,80,-1.2,111,0.942,88,2014
UTSA,C-USA,8-Apr,5.1 (1.1),33.90%,-3.4,82,16.6,122,22.1,33,2.2,6,0.966,117,2014
UAB,C-USA,6-Jun,5.6 (-0.4),31.50%,-4.2,83,26,83,32.8,96,2.5,3,0.933,75,2014
Vanderbilt,SEC,9-Mar,2.7 (-0.3),31.40%,-4.3,84,22,106,25.3,57,-0.9,103,0.828,14,2014
South Alabama,Sun Belt,7-Jun,6.2 (0.2),31.30%,-4.3,85,23.4,98,28.3,72,0.6,40,0.938,84,2014
Temple,AAC,6-Jun,6.2 (0.2),30.30%,-4.7,86,15.8,124,18.9,18,-1.6,116,0.946,92,2014
Colorado,Pac-12,10-Feb,3.9 (1.9),29.60%,-5,87,32.5,46,38.9,118,1.5,21,0.876,46,2014
Central Michigan,MAC,6-Jul,8.2 (1.2),29.00%,-5.2,88,26.1,82,30.2,83,-1.1,106,0.979,126,2014
Bowling Green,MAC,6-Aug,5.2 (-2.8),28.50%,-5.4,89,27.7,74,33.5,100,0.4,47,0.958,107,2014
Purdue,Big Ten,9-Mar,2.9 (-0.1),26.50%,-6.2,90,22.7,101,30.2,84,1.4,23,0.888,53,2014
Ball State,MAC,7-May,4.7 (-0.3),25.40%,-6.6,91,25.6,87,33.9,103,1.7,10,0.976,122,2014
Fresno State,MWC,8-Jun,5.7 (-0.3),24.70%,-6.9,92,24.5,93,31,88,-0.4,82,0.936,78,2014
Nevada,MWC,6-Jul,4.3 (-2.7),23.70%,-7.3,93,26.7,78,33.7,102,-0.3,77,0.951,95,2014
Texas State,Sun Belt,5-Jul,6.2 (-0.8),23.50%,-7.4,94,27.9,72,35.3,111,-0.1,66,0.978,125,2014
Buffalo,MAC,6-May,5.8 (0.8),22.90%,-7.7,95,27.1,75,33.5,101,-1.2,112,0.961,113,2014
Wake Forest,ACC,9-Mar,2.4 (-0.6),22.50%,-7.8,96,13.1,128,22.6,37,1.6,12,0.882,52,2014
Iowa State,Big 12,10-Feb,1.9 (-0.1),22.30%,-7.9,97,21.7,107,30.2,82,0.5,44,0.85,24,2014
Appalachian State,Sun Belt,5-Jul,8.0 (1.0),21.60%,-8.3,98,26.2,80,32,93,-2.5,123,0.976,124,2014
Middle Tennessee,C-USA,6-Jun,5.2 (-0.8),20.70%,-8.7,99,29.6,65,36.5,114,-1.7,117,0.95,94,2014
North Texas,C-USA,8-Apr,4.2 (0.2),19.20%,-9.4,100,20.2,111,31.2,89,1.7,11,0.975,121,2014
Akron,MAC,7-May,5.3 (0.3),19.10%,-9.4,101,18.9,115,28.1,70,-0.3,74,0.951,96,2014
Kansas,Big 12,9-Mar,3.9 (0.9),18.40%,-9.8,102,21.1,109,29.1,74,-1.8,119,0.858,28,2014
UL-Monroe,Sun Belt,8-Apr,4.4 (0.4),18.00%,-10,103,18.4,117,28.8,73,0.4,46,0.929,72,2014
Florida Atlantic,C-USA,9-Mar,4.3 (1.3),17.20%,-10.4,104,25.2,88,34.9,107,-0.8,95,0.908,67,2014
San Jose State,MWC,9-Mar,5.1 (2.1),15.20%,-11.5,105,22.1,104,30.5,86,-3.1,127,0.937,79,2014
Ohio,MAC,6-Jun,5.0 (-1.0),14.90%,-11.7,106,17.8,119,28.2,71,-1.2,110,0.96,111,2014
South Florida,AAC,8-Apr,3.2 (-0.8),14.60%,-11.8,107,19,113,32.3,94,1.5,17,0.923,70,2014
UTEP,C-USA,6-Jul,5.3 (-1.7),14.30%,-12,108,23.5,97,35.4,112,0,62,0.96,108,2014
Old Dominion,C-USA,6-Jun,6.3 (0.3),13.10%,-12.7,109,32.8,44,43.3,127,-2.2,121,0.961,112,2014
Kent State,MAC,9-Feb,3.8 (1.8),11.60%,-13.7,110,16.7,120,29.5,77,-0.9,99,0.943,89,2014
Wyoming,MWC,8-Apr,3.4 (-0.6),11.10%,-14,111,20,112,34.1,104,0.1,60,0.906,65,2014
Connecticut,AAC,10-Feb,2.7 (0.7),11.10%,-14.1,112,14.6,127,27.7,65,-0.9,100,0.945,90,2014
New Mexico,MWC,8-Apr,3.5 (-0.5),9.80%,-15,113,28.4,70,42.4,124,-1,105,0.95,93,2014
Hawaii,MWC,9-Apr,3.3 (-0.7),9.80%,-15,114,15.7,125,30.6,87,0,63,0.96,110,2014
Tulane,AAC,9-Mar,3.0 (0.0),9.70%,-15,115,16.2,123,28,69,-3.3,128,0.938,83,2014
Tulsa,AAC,10-Feb,2.0 (0.0),8.80%,-15.8,116,23.6,95,37.7,116,-1.7,118,0.939,85,2014
Troy,Sun Belt,9-Mar,3.6 (0.6),8.70%,-15.9,117,22.4,103,37.5,115,-0.7,93,0.942,87,2014
Southern Miss,C-USA,9-Mar,3.2 (0.2),8.60%,-15.9,118,19,114,34.8,105,-0.1,65,0.892,60,2014
Florida International,C-USA,8-Apr,3.5 (-0.5),8.30%,-16.2,119,15,126,30.3,85,-0.9,98,0.938,81,2014
Army,Ind,8-Apr,4.0 (0.0),7.60%,-16.9,120,25.2,89,40.9,121,-1.2,109,0.955,102,2014
Idaho,Sun Belt,10-Jan,2.4 (1.4),7.00%,-17.4,121,24.6,92,41.4,122,-0.6,88,0.979,127,2014
UNLV,MWC,11-Feb,2.6 (0.6),6.80%,-17.6,122,22,105,39.1,119,-0.4,83,0.958,106,2014
Miami-OH,MAC,10-Feb,3.8 (1.8),5.80%,-18.7,123,21.5,108,37.9,117,-2.4,122,0.954,99,2014
Massachusetts,MAC,9-Mar,4.4 (1.4),4.60%,-20.2,124,22.6,102,39.9,120,-2.9,124,0.97,120,2014
SMU,AAC,11-Jan,1.5 (0.5),3.90%,-21.2,125,16.6,121,34.9,106,-2.9,125,0.879,47,2014
Georgia State,Sun Belt,11-Jan,2.0 (1.0),3.00%,-22.8,126,22.8,100,45.9,128,0.3,52,0.953,98,2014
New Mexico State,Sun Belt,10-Feb,2.7 (0.7),2.80%,-23.3,127,23,99,43.3,126,-2.9,126,0.96,109,2014
Eastern Michigan,MAC,10-Feb,1.4 (-0.6),1.70%,-25.9,128,17.8,118,42.7,125,-0.9,102,0.934,76,2014
Florida State,ACC,14-0,13.5 (-0.5),98.70%,38.5,1,47.7,3,11.5,2,2.2,5,0.898,62,2013
Alabama,SEC,2-Nov,12.0 (1.0),97.50%,34.1,2,45.6,6,12.3,4,0.8,37,0.856,26,2013
Oregon,Pac-12,2-Nov,10.9 (-0.1),95.00%,28.7,3,46.8,4,18.1,13,0,72,0.883,51,2013
LSU,SEC,3-Oct,10.2 (0.2),95.00%,28.7,4,45.2,7,18.7,16,2.2,7,0.828,11,2013
Ohio State,Big Ten,2-Dec,11.2 (-0.8),94.70%,28.4,5,48.8,2,23.4,44,3,2,0.897,60,2013
Auburn,SEC,2-Dec,9.1 (-2.9),92.40%,25.2,6,46.8,5,23.4,45,1.9,15,0.79,1,2013
Georgia,SEC,5-Aug,9.2 (1.2),92.30%,25.1,7,44.9,8,21.8,33,1.9,13,0.835,14,2013
